,case:concept:name,Trace
0,0,228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0 228977.0
1,1,286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0 286020.0
2,2,226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0 226055.0
3,3,227834.0 227834.0 227834.0 227834.0 227834.0 227834.0 227834.0 227834.0 227834.0 227834.0
4,4,272047.0 272047.0 272047.0 272047.0 272047.0 272047.0 272047.0 272047.0 272047.0 272047.0
5,5,266122.0 266122.0 266122.0 266122.0 266122.0 266122.0 266122.0 266122.0
6,6,203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0 203766.0
7,7,248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0 248755.0
8,8,231809.0 231809.0 231809.0 231809.0
9,9,245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0 245091.0
