,case:concept:name,Trace
0,0,228977.0
1,1,286020.0
2,2,226055.0
3,3,227834.0
4,4,272047.0
5,5,266122.0
6,6,203766.0
7,7,248755.0
8,8,231809.0
9,9,245091.0
10,10,201006.0
11,11,263370.0
12,12,249695.0 256345.0
13,13,246080.0
14,14,243600.0 273347.0
15,15,262670.0
16,16,223870.0
17,17,247686.0 205589.0
18,18,237528.0 222779.0 261764.0 295043.0
19,19,249805.0
20,20,271544.0
21,21,279554.0 269173.0
22,22,236120.0  285750.0
23,23,285369.0
24,24,219013.0
25,25,238399.0
26,26,234424.0 261743.0
27,27,210989.0 204132.0
28,28,242790.0
29,29,293429.0
30,30,276601.0
31,31,279529.0
32,32,231005.0
33,33,220016.0
34,34,279183.0
35,35,216185.0 293178.0
36,36,256338.0
37,37,242680.0 234541.0 205170.0 286072.0 213315.0 285272.0 285353.0 209797.0 291067.0 263095.0 280943.0 265505.0 253931.0
38,38,283875.0
39,39,256542.0
40,40,244243.0
41,41,298685.0
42,42,210164.0 281609.0
43,43,274509.0
44,44,254635.0
45,45,290478.0
46,46,221684.0 256746.0
47,47,277238.0
48,48,251281.0
49,49,201204.0
50,50,279721.0 223285.0
51,51,250305.0
52,52,241992.0
53,53,210474.0
54,54,219307.0
55,55,293363.0  283181.0
56,56,224458.0 289236.0
57,57,239935.0
58,58,229194.0
59,59,243229.0
60,60,243238.0
61,61,220671.0
62,62,264258.0
63,63,214180.0 243123.0
64,64,297782.0
65,65,290513.0
66,66,286428.0 265615.0 282640.0
67,67,217724.0
68,68,239396.0
69,69,238186.0
70,70,217992.0
